,name,percent
0,Rossi,4.797913484829068
1,Russo,3.2953158448684796
2,Ferrari,2.752468965922913
3,Esposito,2.4400799144553993
4,Bianchi,1.9741223380230206
5,Romano,1.885153431972925
6,Colombo,1.85605734345359
7,Ricci,1.5803272627198224
8,Marino,1.4093220926495087
9,Greco,1.409217052618753
10,Bruno,1.376864723145991
11,Gallo,1.3552264768103124
12,Conti,1.34178135287358
13,De Luca,1.3243447077681305
14,Mancini,1.3099542235545967
15,Costa,1.2873706169421166
16,Giordano,1.2852698163270022
17,Rizzo,1.275921253589743
18,Lombardi,1.2182542767048523
19,Moretti,1.1476673760370077
20,Barbieri,1.1187813675791844
21,Fontana,1.1059664838269865
22,Santoro,1.0954624807514144
23,Mariani,1.0573329495870876
24,Rinaldi,1.0265562205756613
25,Caruso,1.0150018171925321
26,Ferrara,1.00670365476283
27,Galli,0.9866410088884874
28,Martini,0.9787630065818084
29,Leone,0.9616414815686258
30,Longo,0.9591205208304886
31,Gentile,0.9430493961248633
32,Martinelli,0.9282387517883066
33,Vitale,0.9237220304658105
34,Lombardo,0.9055501051450707
35,Serra,0.8993527433304832
36,Coppola,0.8770842568102705
37,De Santis,0.8751935362566674
38,D'angelo,0.8748784161644003
39,Marchetti,0.8660550535809197
40,Parisi,0.8620635324122022
41,Villa,0.8601728118585993
42,Conte,0.8597526517355764
43,Ferraro,0.8589123314895306
44,Ferri,0.8530300897672103
45,Fabbri,0.8522948095519203
46,Bianco,0.8460974477373326
47,Marini,0.8356984846925163
48,Grasso,0.8324422437390889
49,Valentini,0.8275053622935701
50,Messina,0.8263499219552571
51,Sala,0.8236188811556084
52,De Angelis,0.8214130405097383
53,Gatti,0.8191021598331124
54,Pellegrini,0.80492175568109
55,Palumbo,0.8017705547584184
56,Sanna,0.8008251944816169
57,Farina,0.7938925524517394
58,Rizzi,0.7897959912522663
59,Monti,0.7828633492223886
60,Cattaneo,0.7825482291301216
61,Morelli,0.7788718280536713
62,Amato,0.7786617479921598
63,Silvestri,0.7714139858700151
64,Mazza,0.7639561436863588
65,Testa,0.7581789419947942
66,Grassi,0.7541874208260768
67,Pellegrino,0.7518765401494509
68,Carbone,0.7515614200571838
69,Giuliani,0.7432632576274818
70,Benedetti,0.7299231737215053
71,Barone,0.7216250112918033
72,Rossetti,0.7115411683392541
73,Caputo,0.7112260482469869
74,Montanari,0.706289166801468
75,Guerra,0.6993565247715905
76,Palmieri,0.6985162045255446
77,Bernardi,0.6944196433260716
78,Martino,0.6827601999121865
79,Fiore,0.6809745193893393
80,De Rosa,0.6789787588049806
81,Ferretti,0.6754073977592862
82,Bellini,0.6742519574209732
83,Basile,0.6715209166213243
84,Riva,0.6676344354833627
85,Donati,0.6654285948374926
86,Piras,0.6631177141608667
87,Vitali,0.6551346718234319
88,Battaglia,0.6538741914543632
89,Sartori,0.6537691514236076
90,Neri,0.6503028304086688
91,Costantini,0.6468365093937299
92,Milani,0.6441054685940811
93,Pagano,0.6435802684403026
94,Ruggiero,0.6420046679789668
95,Sorrentino,0.6386433869947837
96,D'amico,0.6362274662874021
97,Orlando,0.6357022661336236
98,Damico,0.6306603446573489
99,Negri,0.6214168219508455
